Protocol,Statut,Blockchain,Action,Date,Site,Twitter,Note
Argent,Airdrop Farmable + 90 % chance of an airdrop,Ethereum,Have created the wallet + to have made tx,End 2021,https://www.argent.xyz/,https://twitter.com/argentHQ,Insinuation of a potential token with arrival layers 2 thus potential airdrop
Opyn,Airdrop Farmable,Ethereum,Buy an option,Unknown,https://www.opyn.co/,https://twitter.com/opyn_,Speculative + has no token yet
Ribbon,Airdrop Live,Ethereum,https://ribbonfinance.medium.com/rbn-airdrop-distribution-70b6cb0b870c,Live,https://www.ribbon.finance/,https://twitter.com/ribbonfinance,https://ribbonfinance.medium.com/rbn-airdrop-distribution-70b6cb0b870c
Shell,Airdrop Farmable,Ethereum,Be LP,Unknown,https://www.shellprotocol.io/,https://twitter.com/ShellProtocol,/
Polymarket,Airdrop Farmable,Ethereum,Make a prediction,Unknown,https://polymarket.com/,https://twitter.com/PolymarketHQ,/
Ethereum Name Service,Airdrop Live,Ethereum,Airdrop Live November 8th: claim.ens.domains,Live,https://ens.domains/,https://twitter.com/ensdomains,https://twitter.com/ensdomains/status/1455283001248698376
Celer,Airdrop Farmable,Cross-Chain,Have used the bridge,Unknown,https://www.celer.network/,https://twitter.com/CelerNetwork,Already has a token but can airdrop for bridge users
Element,Airdrop Farmable,Ethereum,Mint future yield token + be LP,Unknown,https://element.fi/,https://twitter.com/element_fi,Retroactive airdrop rumors
Rarity MMO,Airdrop Farmable,Fantom,Play the game,Unknown,https://raritymmo.com/,https://twitter.com/AndreCronjeTech,Watch this video: https://www.youtube.com/watch?v=jrgUY8Cg_gM
Fixed Forex,Airdrop Farmable,Ethereum,Interacting with the protocol,Unknown,https://fixedforex.fi/,https://twitter.com/AndreCronjeTech,There is a farmable token + retroactive airdrop if voted
Rabbit Hole,Airdrop Farmable,MultiChain,Doing the quests,Unknown,https://rabbithole.gg/,https://twitter.com/rabbithole_gg,Big fundraising with the DEFI Mafia
ICE,Airdrop Farmable + 90 % chance of an airdrop,Icon,Have hodl of $ICX,2021/2022,/,https://twitter.com/iceblock_chain,https://medium.com/helloiconworld/the-ice-blockchain-e6ea96adc99 + Airdrop 1/1 ICE/ICX fort probable. Peut être décalé à 2022.
Bitsong,Airdrop Farmable + 90 % chance of an airdrop,Atom,Stake $ATOM,End 2021,https://bitsong.io/,https://twitter.com/BitSongOfficial,Snapshot September or mid-November
Emeris + GravityDEX,Airdrop Farmable + 90 % chance of an airdrop,Atom,Connect to Emeris with Keplr + make swaps + provide liquidity,Unknown,https://emeris.com/,https://twitter.com/emerisHQ,/
Koala (memecoin),Airdrop Farmable + 90 % chance of an airdrop,Atom,Have Stake $ATOM,Unknown,/,https://twitter.com/koala_network,/
Hansum (memecoin),Airdrop Farmable,Atom,Have Stake/hodl $ATOM and $OSMO,Unknown,/,https://twitter.com/HANSUMtoken,/
WarpZone,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have Stake/hodl $ATOM,End 2021,/,/,Airdrop if the proposal 55 passes and snapshot will be taken at that time
Omniflix,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have Stake/hodl $ATOM,Unknown,https://omniflix.network/,https://twitter.com/OmniFlixNetwork,/
Citadel,Airdrop non Farmable,Atom,Have Stake $ATOM + have used the protocol,Unknown,https://citadel.one/,https://twitter.com/CitadelDAO,/
CosmosGamingHub,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have stake $ATOM,44470,/,https://twitter.com/cosmosgaminghub,Snapshot taken in February 2018 + Distribution in October 2021
CosmoStarter,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have stake $ATOM,Unknown,https://cosmostarter.io/,https://twitter.com/Cosmostarterio,Snapshot not taken yet
Ethermint,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have Stake/hodl $ATOM,Unknown,/,https://twitter.com/cosmos,Snapshot not taken yet + Airdrop may be important
Sunny,Airdrop Live,Solana,Have hodl $OSMO,Live,https://app.sunny.ag/,https://twitter.com/SunnyAggregator,Airdrop already live
Sputnik,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have stake $ATOM,Fin 2021,https://sputnik.exchange/,https://twitter.com/SputnikNetwork,Airdrop Q4 2021
Persistence,Airdrop Farmable + 90 % chance of an airdrop,Atom,Have stake $IRIS,Unknown,https://persistence.one/,https://twitter.com/PersistenceOne,/
Junochain,Airdrop Live,Atom,Have hodl $ATOM,44470,https://junochain.com/,https://twitter.com/JunoNetwork,https://stakedrop.junochain.com/
ChihuahuaChain (memecoin),Airdrop Farmable,Atom,Have stake $ATOM or $OSMO,Unknown,https://chi.huahua.wtf/,https://twitter.com/ChihuahuaChain,/
Gnoland,Airdrop Farmable,Atom,Have stake/hodl $ATOM,Unknown,/,/,/
Anchor,Airdrop Live,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),Live,https://anchorprotocol.com/,https://twitter.com/anchor_protocol,"Airdrop already live, including for those who stake now: https://docs.anchorprotocol.com/protocol/anchor-token-anc"
Mirror,Airdrop Live,Terra,Have stake $LUNA or hodl $UNI 23/11/2020,Live,https://terra.mirror.finance/,https://twitter.com/mirror_protocol,"Airdrop already live, including for those who stake now : https://medium.com/mirror-protocol/an-introduction-to-mir-token-farming-on-mirror-protocol-21e5c7c0f986"
Pylon,Airdrop Live,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),Live,https://www.pylon.money/,https://twitter.com/pylon_protocol,"Airdrop already live, including for those who stake now"
StarTerra,Airdrop Live,Terra,Have stake $LUNA and/or $bLUNA (for stake $LUNA: https://station.terra.money/staking),Live,https://starterra.io/,https://twitter.com/StarTerra_io,Airdrop already live
Loop,Airdrop Live,Terra,Have stake $MINE,Live,https://www.loop.markets/,https://twitter.com/loop_finance,https://medium.com/@StarTerra/loop-finance-x-starterra-airdrop-has-landed-b1b16e94e06d
Talis,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA on their node (for stake $LUNA: https://station.terra.money/staking),End 2021,https://talis.art/,https://twitter.com/ProtocolTalis,Airdrop announced for those who stake on their node
Orion,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://orion.money/,https://twitter.com/orion_money,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Spar,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://spar.finance/,https://twitter.com/spar_protocol,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Nebula,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/nebula_protocol,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Mars,Airdrop non Farmable,Terra,"(Have stake $LUNA, not sure from the last article), participate in the lockdrop",2021/2022,https://marsprotocol.io/,https://twitter.com/mars_protocol,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page + article on medium: https://mars-protocol.medium.com/ignition-phase-announcing-the-mars-protocol-lockdrop-and-mars-token-launch-fa5b5160996d
Apollo Dao,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://apollo.farm/,https://twitter.com/ApolloDAO,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Angel,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/angelprotocol,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Lighthouse,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/lighthousedefi,https://lunaairdrops.com/ which announces it on its page
Prism,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://prismfinance.app/,https://twitter.com/prism_protocol,https://lunaairdrops.com/ which announces it on its page
Swivel,Airdrop Farmable,Ethereum,Use the protocol on the Rinkeby testnet,Inconnue,https://swivel.finance/,https://twitter.com/SwivelFinance,Raise funds from the DEFI Mafia + does not yet have a token + speculative
Levana,Airdrop Farmable + 90 % chance of an airdrop,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://levana.finance/,https://twitter.com/Levana_protocol,https://www.terradrops.io/ and https://lunaairdrops.com/ which announces it on its page
Kujira,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://dev.kujira.app/,https://twitter.com/TeamKujira,https://lunaairdrops.com/ which announces it on its page
Preserver,Airdrop Farmable,Terra,"Have stake $LUNA (and $ANC), (for stake $LUNA: https://station.terra.money/staking)",2021/2022,/,https://twitter.com/preserver_tefi,https://lunaairdrops.com/ which announces it on its page
Glow,Airdrop Farmable,Terra,"Have stake $LUNA (and $ANC), (for stake $LUNA: https://station.terra.money/staking)",2021/2022,https://www.joinglow.com/,https://twitter.com/glowsavings,https://lunaairdrops.com/ which announces it on its page
Subsidium,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://subsidium.digital/,https://twitter.com/SubsidiumDGTL,https://lunaairdrops.com/ which announces it on its page
Digipharm,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://digipharm.io/,https://twitter.com/DigipharmTeam,https://lunaairdrops.com/ which announces it on its page
Local Terra,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/local_terra,https://lunaairdrops.com/ which announces it on its page
Bet Terra,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,http://betterra.money/,https://twitter.com/BetTerraMoney,https://lunaairdrops.com/ which announces it on its page
Pluto's Pot,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://plutospot.io/,https://twitter.com/Plutos_Pot,https://lunaairdrops.com/ which announces it on its page
Valkyrie,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://valkyrieprotocol.com/,https://twitter.com/valkyrie_money,https://lunaairdrops.com/ which announces it on its page
Crypto11,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://crypto11.me/,https://twitter.com/fantasycrypto11,https://lunaairdrops.com/ which announces it on its page
Tsunami,Airdrop Farmable,Terra,Have stake $LUNA $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/TsunamiProtocol,https://lunaairdrops.com/ which announces it on its page
Hero,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/Hero_NFT_,https://lunaairdrops.com/ which announces it on its page
Neptune,Airdrop Farmable,Terra,Have stake $LUNA (and $ANC),2021/2022,/,https://twitter.com/neptune_finance,https://lunaairdrops.com/ which announces it on its page
White Whale,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/WhiteWhaleTerra,https://lunaairdrops.com/ which announces it on its page
TerraWorld,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,https://terraoffice.world/,https://twitter.com/terraworld_work,https://lunaairdrops.com/ which announces it on its page
Terra Casino,Airdrop Farmable,Terra,Have stake $LUNA (for stake $LUNA: https://station.terra.money/staking),2021/2022,/,https://twitter.com/TerraCasino,https://lunaairdrops.com/ which announces it on its page
Nexus,Airdrop Live,Terra,Have stake $ANC to Anchor Gouvernance and stake $MINE,Live,https://nexusprotocol.app/,https://twitter.com/NexusProtocol,Confirmed by the official twitter in DM
Boba,Airdrop Farmable + 90 % chance of an airdrop,Boba,Bridge $OMG into boba network (https://boba.network/airdrop/),2021,https://boba.network/,https://twitter.com/bobanetwork,https://boba.network/airdrop/
